11.49s | Frame 6745 | Block
12.61s | Frame 7405 | Light
13.61s | Frame 7992 | Heavy
14.61s | Frame 8598 | Block
15.61s | Frame 9186 | Light
16.61s | Frame 9738 | Light
17.62s | Frame 10339 | Light
18.62s | Frame 10875 | Heavy
19.62s | Frame 11462 | Block
20.62s | Frame 12059 | Block
21.77s | Frame 12750 | Heavy
22.77s | Frame 13344 | Light
23.78s | Frame 13938 | Block
24.78s | Frame 14512 | Heavy
25.78s | Frame 15084 | Block
26.81s | Frame 15692 | Heavy
27.81s | Frame 16288 | Light
28.81s | Frame 16899 | Heavy
29.81s | Frame 17505 | Light
30.81s | Frame 18135 | Light
31.81s | Frame 18567 | Block
32.82s | Frame 19063 | Block
33.97s | Frame 19595 | Heavy
34.97s | Frame 20068 | Light
35.97s | Frame 20554 | Heavy
36.97s | Frame 20843 | Light
37.98s | Frame 21212 | Block
38.98s | Frame 21598 | Light
39.98s | Frame 21997 | Heavy
40.99s | Frame 22431 | Light
41.99s | Frame 22866 | Light
43.08s | Frame 23184 | Block
44.08s | Frame 23575 | Block
45.23s | Frame 24063 | Block
46.39s | Frame 24552 | Block
47.54s | Frame 25032 | Heavy
48.55s | Frame 25447 | Light
49.55s | Frame 25856 | Light
50.55s | Frame 26250 | Block
51.56s | Frame 26683 | Heavy
52.56s | Frame 27082 | Light
53.56s | Frame 27534 | Light
54.56s | Frame 28009 | Heavy
55.56s | Frame 28491 | Light
56.57s | Frame 28967 | Heavy
57.57s | Frame 29453 | Light
58.57s | Frame 29921 | Light
59.57s | Frame 30389 | Block
60.57s | Frame 30842 | Block
61.73s | Frame 31376 | Block
62.88s | Frame 31912 | Block
64.03s | Frame 32497 | Block
65.19s | Frame 33084 | Heavy
66.19s | Frame 33588 | Light
67.19s | Frame 34087 | Light
68.19s | Frame 34587 | Heavy
69.20s | Frame 35082 | Light
70.20s | Frame 35573 | Heavy
71.20s | Frame 36064 | Block
72.20s | Frame 36548 | Heavy
73.20s | Frame 37030 | Block
74.23s | Frame 37441 | Light
75.23s | Frame 37863 | Block
76.24s | Frame 38312 | Heavy
77.24s | Frame 38802 | Light
78.24s | Frame 39391 | Heavy
79.24s | Frame 39971 | Light
